"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:50,FALSE,NA,"987710005255294977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bmimi_4",9598,TRUE,FALSE,NA,NA
"2","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:49,FALSE,NA,"987710000582672384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rlp164",3861,TRUE,FALSE,NA,NA
"3","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:48,FALSE,NA,"987709997940342784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lianyraquelllll",3861,TRUE,FALSE,NA,NA
"4","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:45,FALSE,NA,"987709982576709633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoyalChvnel_",3861,TRUE,FALSE,NA,NA
"5","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:44,FALSE,NA,"987709979657416704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marq2680",9598,TRUE,FALSE,NA,NA
"6","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:44,FALSE,NA,"987709977413419008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LLSiggir",3861,TRUE,FALSE,NA,NA
"7","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:42,FALSE,NA,"987709972485165056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuisThePlug",9598,TRUE,FALSE,NA,NA
"8","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:42,FALSE,NA,"987709971235332096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruizmiguel_",9598,TRUE,FALSE,NA,NA
"9","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:40,FALSE,NA,"987709961731010560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuisThePlug",3861,TRUE,FALSE,NA,NA
"10","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:40,FALSE,NA,"987709960749502465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dolphin_swagg",3861,TRUE,FALSE,NA,NA
"11","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:38,FALSE,NA,"987709955728961537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BirdiOnBoundary",9598,TRUE,FALSE,NA,NA
"12","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:38,FALSE,NA,"987709953627574272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShareefJackson",3861,TRUE,FALSE,NA,NA
"13","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:36,FALSE,NA,"987709947185106944",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kodiak149",3861,TRUE,FALSE,NA,NA
"14","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:09:34,FALSE,NA,"987709938729455616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Caraberlan_",3861,TRUE,FALSE,NA,NA
"15","RT @EnlightenMeWERA: Bravo for her bravery in stepping out and making a stand on her own! #nationalschoolwalkout #Columbine https://t.co/Lr",FALSE,0,NA,2018-04-21 15:09:33,FALSE,NA,"987709931632676864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SawyerAndrew",1,TRUE,FALSE,NA,NA
"16","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:31,FALSE,NA,"987709925521592325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gleefulstyIes",9598,TRUE,FALSE,NA,NA
"17","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:30,FALSE,NA,"987709921746616325",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stevewolk_",9598,TRUE,FALSE,NA,NA
"18","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:30,FALSE,NA,"987709921201459200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayyeitzbrie",9598,TRUE,FALSE,NA,NA
"19","RT @SandiRein: 20 years into this teaching gig. My students have NEVER known school as a safe zone. #Columbine has always been real to them",FALSE,0,NA,2018-04-21 15:09:29,FALSE,NA,"987709917170683904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stephsanola",0,TRUE,FALSE,NA,NA
"20","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:09:29,FALSE,NA,"987709915807404032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bbox",9598,TRUE,FALSE,NA,NA
